longitude,latitude,flood_susceptibility,risk_class,risk_label
6.95,5.38847899328859,0.8005885573276741,3.0,high
6.95,5.389038275167785,0.8012373031743798,3.0,high
6.95,5.389597557046979,0.801899581675491,3.0,high
6.95,5.390156838926174,0.8025759402966615,3.0,high
6.95,5.390716120805369,0.8032669815978062,3.0,high
6.95,5.391275402684563,0.8039733654441226,3.0,high
6.95,5.391834684563758,0.8046958107387261,3.0,high
6.95,5.3923939664429525,0.8054350965617072,3.0,high
6.95,5.392953248322147,0.8061920625906895,3.0,high
6.95,5.393512530201342,0.806967608668548,3.0,high
6.95,5.394071812080536,0.8077626933752557,3.0,high
6.95,5.394631093959731,0.8085783314530715,3.0,high
6.95,5.395190375838926,0.8094155899269413,3.0,high
6.95,5.39574965771812,0.8102755827553068,3.0,high
6.95,5.396308939597315,0.8111594638403272,3.0,high
6.95,5.39686822147651,0.8120684182199533,3.0,high
6.95,5.397427503355704,0.8130036512566869,3.0,high
6.95,5.397986785234899,0.8139663756283608,3.0,high
6.95,5.3985460671140935,0.8149577959127712,3.0,high
6.95,5.399105348993288,0.8159790905387687,3.0,high
6.95,5.399664630872483,0.8170313908486022,3.0,high
6.95,5.400223912751677,0.8181157569762407,3.0,high
6.95,5.400783194630872,0.819233150190201,3.0,high
6.95,5.401342476510067,0.8203844012722195,3.0,high
6.95,5.401901758389261,0.8215701743991943,3.0,high
6.95,5.402461040268456,0.822790925860545,3.0,high
6.95,5.4030203221476505,0.8240468567716859,3.0,high
6.95,5.403579604026845,0.8253378587340736,3.0,high
6.95,5.40413888590604,0.8266634511464921,3.0,high
6.95,5.404698167785234,0.828022708600088,3.0,high
6.95,5.405257449664429,0.8294141765146503,3.0,high
6.95,5.405816731543624,0.8308357729398668,3.0,high
6.95,5.406376013422818,0.8322846743258561,3.0,high
6.95,5.406935295302013,0.8337571831782966,3.0,high
6.95,5.4074945771812075,0.8352485760288573,3.0,high
6.95,5.408053859060402,0.8367529313144648,3.0,high
6.95,5.408613140939597,0.8382629388893428,3.0,high
6.95,5.409172422818792,0.8397696963777352,3.0,high
6.95,5.409731704697987,0.8412625028109368,3.0,high
6.95,5.4102909865771815,0.8427286672807923,3.0,high
